0	-30.0244	-30
0.1	-29.4672	-29.4413
0.2	-28.887	-28.8603
0.3	-28.2746	-28.2463
0.4	-27.618	-27.5873
0.5	-26.9016	-26.8699
0.6	-26.1039	-26.0697
0.7	-25.194	-25.1582
0.8	-24.1254	-24.0863
0.9	-22.8229	-22.7859
1	-21.1555	-21.1139
1.1	-18.8675	-18.8221
1.2	-15.3746	-15.3224
1.3	-8.97618	-8.91232
1.4	6.14661	6.20933
1.5	29.7519	29.7252
1.6	45.3864	45.3335
1.7	53.3387	53.3106
1.8	56.6984	56.6922
1.9	57.4613	57.4805
2	56.8253	56.867
2.1	55.4912	55.5407
2.2	53.8553	53.9855
2.3	52.1314	52.2451
2.4	50.4278	50.4817
2.5	48.7941	48.8145
2.6	47.2488	47.2373
2.7	45.7946	45.7446
2.8	44.4272	44.3672
2.9	43.1395	43.0898
3	41.9237	41.8709
3.1	40.7724	40.7262
3.2	39.6789	39.6259
3.3	38.6371	38.5599
3.4	37.642	37.5484
3.5	36.6892	36.6117
3.6	35.7746	35.7346
3.7	34.8949	34.8856
3.8	34.0472	34.0519
3.9	33.2288	33.2221
4	32.4373	32.4015
4.1	31.6708	31.6054
4.2	30.9273	30.8484
4.3	30.2052	30.1444
4.4	29.5029	29.4818
4.5	28.819	28.8359
4.6	28.1524	28.1859
4.7	27.5017	27.5156
4.8	26.8659	26.8561
4.9	26.244	26.2193
5	25.6351	25.6078
5.1	25.0382	25.0188
5.2	24.4525	24.4423
5.3	23.8771	23.8689
5.4	23.3113	23.3001
5.5	22.7543	22.7459
5.6	22.2053	22.198
5.7	21.6636	21.6543
5.8	21.1284	21.1289
5.9	20.599	20.612
6	20.0746	20.0914
6.1	19.5543	19.5611
6.2	19.0372	19.0421
6.3	18.5225	18.5291
6.4	18.0092	18.0121
6.5	17.496	17.4958
6.6	16.9818	16.9856
6.7	16.465	16.4718
6.8	15.9441	15.9463
6.9	15.4169	15.418
7	14.8811	14.8841
7.1	14.3337	14.3362
7.2	13.7709	13.7698
7.3	13.1878	13.1854
7.4	12.5781	12.5742
7.5	11.9328	11.9266
7.6	11.2398	11.2315
7.7	10.4808	10.4695
7.8	9.6283	9.61514
7.9	8.63763	8.62184
8	7.43171	7.41322
8.1	5.86563	5.84439
8.2	3.63607	3.61118
8.3	0.0233033	-0.005344
8.4	-6.77538	-6.79978
8.5	-19.1399	-19.124
8.6	-33.3308	-33.2667
8.7	-44.1125	-44.0381
8.8	-51.2351	-51.2572
8.9	-55.7472	-55.7848
9	-58.5417	-58.5783
9.1	-60.2297	-60.2749
9.2	-61.2083	-61.2475
9.3	-61.732	-61.7851
9.4	-61.9629	-62.0113
9.5	-62.0048	-62.0949
9.6	-61.9243	-62.0282
9.7	-61.7642	-61.8383
9.8	-61.5524	-61.6369
9.9	-61.307	-61.4149
10	-61.04	-61.155
10.1	-60.7593	-60.8424
10.2	-60.4701	-60.5197
10.3	-60.1759	-60.2054
10.4	-59.8792	-59.8955
10.5	-59.5815	-59.586
10.6	-59.284	-59.2816
10.7	-58.9875	-58.9948
10.8	-58.6924	-58.7196
10.9	-58.3992	-58.4493
11	-58.108	-58.1776
11.1	-57.8192	-57.8977
11.2	-57.5328	-57.6031
11.3	-57.2489	-57.2927
11.4	-56.9677	-56.9898
11.5	-56.6891	-56.6963
11.6	-56.4131	-56.4104
11.7	-56.1399	-56.1302
11.8	-55.8694	-55.8541
11.9	-55.6017	-55.5812
12	-55.3367	-55.3174
12.1	-55.0744	-55.0612
12.2	-54.8149	-54.8097
12.3	-54.5581	-54.56
12.4	-54.304	-54.3092
12.5	-54.0527	-54.0545
12.6	-53.804	-53.7972
12.7	-53.558	-53.5472
12.8	-53.3147	-53.3035
12.9	-53.074	-53.0643
13	-52.8359	-52.8276
13.1	-52.6005	-52.5918
13.2	-52.3676	-52.3549
13.3	-52.1373	-52.1211
13.4	-51.9096	-51.8965
13.5	-51.6843	-51.6788
13.6	-51.4616	-51.466
13.7	-51.2413	-51.2561
13.8	-51.0235	-51.047
13.9	-50.808	-50.8366
14	-50.595	-50.6227
14.1	-50.3843	-50.4034
14.2	-50.176	-50.1834
14.3	-49.97	-49.9698
14.4	-49.7662	-49.7617
14.5	-49.5647	-49.558
14.6	-49.3654	-49.3577
14.7	-49.1684	-49.1601
14.8	-48.9735	-48.9639
14.9	-48.7807	-48.7683
15	-48.5901	-48.5732
15.1	-48.4015	-48.3842
15.2	-48.215	-48.2017
15.3	-48.0306	-48.0243
15.4	-47.8481	-47.8507
15.5	-47.6676	-47.6798
15.6	-47.4891	-47.5101
15.7	-47.3125	-47.3405
15.8	-47.1378	-47.1697
15.9	-46.965	-46.9964
16	-46.794	-46.8193
16.1	-46.6248	-46.6391
16.2	-46.4574	-46.4627
16.3	-46.2918	-46.2907
16.4	-46.128	-46.1224
16.5	-45.9658	-45.9573
16.6	-45.8054	-45.7949
16.7	-45.6466	-45.6347
16.8	-45.4894	-45.4761
16.9	-45.3339	-45.3187
17	-45.18	-45.1618
17.1	-45.0276	-45.0069
17.2	-44.8768	-44.8572
17.3	-44.7275	-44.7121
17.4	-44.5797	-44.5708
17.5	-44.4334	-44.4325
17.6	-44.2886	-44.2965
17.7	-44.1452	-44.1619
17.8	-44.0032	-44.0279
17.9	-43.8626	-43.8938
18	-43.7233	-43.7587
18.1	-43.5855	-43.6219
18.2	-43.4489	-43.4826
18.3	-43.3137	-43.3401
18.4	-43.1797	-43.1962
18.5	-43.047	-43.0555
18.6	-42.9156	-42.9178
18.7	-42.7854	-42.7829
